match_no,mdt_date,mdt_time,teams,stage,group,stadium,city,utc_datetime,match_source_url,official_fifa_schedule_pdf
1,2026-06-11,13:00,Mexico vs South Africa,Group stage,Group A,Estadio Azteca,Mexico City,2026-06-11 19:00,https://www.worldcupschedule.app/en/matches/1,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
2,2026-06-11,20:00,Korea Republic vs Czechia,Group stage,Group A,Estadio Akron,Guadalajara,2026-06-12 02:00,https://www.worldcupschedule.app/en/matches/2,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
3,2026-06-12,13:00,Canada vs Bosnia & Herzegovina,Group stage,Group B,BMO Field,Toronto,2026-06-12 19:00,https://www.worldcupschedule.app/en/matches/3,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
4,2026-06-12,19:00,United States vs Paraguay,Group stage,Group D,SoFi Stadium,Los Angeles,2026-06-13 01:00,https://www.worldcupschedule.app/en/matches/4,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
5,2026-06-13,19:00,Haiti vs Scotland,Group stage,Group C,Gillette Stadium,Boston,2026-06-14 01:00,https://www.worldcupschedule.app/en/matches/5,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
6,2026-06-13,22:00,Australia vs Türkiye,Group stage,Group D,BC Place,Vancouver,2026-06-14 04:00,https://www.worldcupschedule.app/en/matches/6,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
7,2026-06-13,16:00,Brazil vs Morocco,Group stage,Group C,MetLife Stadium,New York/New Jersey,2026-06-13 22:00,https://www.worldcupschedule.app/en/matches/7,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
8,2026-06-13,13:00,Qatar vs Switzerland,Group stage,Group B,Levi's Stadium,San Francisco Bay Area,2026-06-13 19:00,https://www.worldcupschedule.app/en/matches/8,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
9,2026-06-14,17:00,Côte d’Ivoire vs Ecuador,Group stage,Group E,Lincoln Financial Field,Philadelphia,2026-06-14 23:00,https://www.worldcupschedule.app/en/matches/9,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
10,2026-06-14,11:00,Germany vs Curaçao,Group stage,Group E,NRG Stadium,Houston,2026-06-14 17:00,https://www.worldcupschedule.app/en/matches/10,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
